#{"t_start": 1747184514.6882677, "env_id": "None"}
r,l,t
-9.747436,21,3.915402
-8.935661,21,3.915411
-8.55908,21,3.91542
-3.3672104,21,3.915424
-0.8886416,21,3.91543
-10.291907,21,3.915437
0.54095745,21,3.915443
-9.8267145,21,3.915451
-2.2833793,21,3.915461
-5.4121265,21,3.915466
-10.899638,21,3.915471
-0.6824522,21,3.915476
-7.556214,21,3.915482
-6.6252623,21,3.915488
-2.8632839,21,3.915493
-8.692477,21,3.915503
-5.539692,21,3.915509
-9.541191,21,3.915515
-2.6113586,21,3.915521
-6.711373,21,3.915528
-2.2073479,21,3.915533
-6.455535,21,3.91554
-4.6984916,21,3.915549
-9.474012,21,3.915557
-2.172011,21,3.915563
-8.7732725,21,3.915569
-6.465685,21,3.915577
-6.9715934,21,3.915583
-12.305788,21,3.915588
-6.578813,21,3.915599
-11.362539,21,3.915606
-3.9740224,21,3.915612
-7.7460194,21,3.915619
-4.817237,21,3.915637
-3.6170382,21,3.915643
0.7225089,21,3.915658
-10.223849,21,3.915664
-3.5225496,21,3.915673
-8.484997,21,3.915679
-11.90502,21,3.915685
-11.536202,21,3.915695
-5.2207613,21,3.915706
-7.4695754,21,3.915713
-1.0002458,21,3.915717
-7.7450366,21,3.915725
-7.7786674,21,3.915731
-4.5620365,21,3.915739
-6.194338,21,3.915747
-5.665774,21,3.915754
-8.739778,21,3.915759
-2.8670619,21,3.915764
1.1126771,21,3.915769
-9.995386,21,3.915775
-5.4980397,21,3.91578
-6.2828455,21,3.915788
-1.68856,21,3.915792
-6.4415855,21,3.915798
-1.4413047,21,3.915802
0.10886669,22,4.095336
-3.27976,22,4.095394
-9.822836,22,4.095408
-7.307328,22,4.095416
-1.389349,22,4.095432
-9.471115,22,4.095437
-3.908513,22,4.095442
-6.6650763,22,4.095447
-7.9460483,22,4.095452
-8.850487,22,4.095458
-9.539843,22,4.095463
-4.553529,22,4.09547
-3.5358536,22,4.095476
-6.796511,22,4.095485
-4.5409517,22,4.095491
-3.8674412,22,4.095495
-3.2838411,22,4.095502
-3.8903582,22,4.095508
-6.8013077,22,4.095513
-10.702652,22,4.095519
-9.099787,22,4.095524
-8.457499,22,4.09553
-5.761402,22,4.095537
-9.661725,22,4.095543
1.7985897,22,4.095548
-5.0164037,22,4.095554
-12.434879,22,4.09556
-3.425799,22,4.09557
-9.374435,22,4.095577
-1.4795523,22,4.095582
-1.2321815,22,4.095592
-2.3721213,22,4.095601
-3.2752242,22,4.095607
-7.4116044,22,4.095614
-1.3984609,22,4.095627
-11.766947,22,4.095632
-4.9874725,22,4.095646
-10.155319,22,4.095654
-4.3610287,22,4.095659
-11.355537,22,4.095665
-4.062257,22,4.09567
-9.701237,22,4.095677
-4.043366,22,4.095686
-1.5078485,22,4.095695
-8.304869,22,4.095706
-6.4908113,22,4.095717
-0.13225889,22,4.095724
-8.64235,22,4.095732
-8.800209,22,4.09574
-7.781357,22,4.095748
-8.635883,22,4.095753
-7.212746,22,4.09576
-7.0697827,22,4.095767
-4.186867,22,4.095775
-9.673322,22,4.095786
-5.7016587,22,4.095792
-8.384862,22,4.095797
-3.0861804,22,4.095803
-6.0583615,22,4.095817
-6.8388486,22,4.095826
-2.9486368,22,4.095834
-4.1527395,22,4.09584
-4.221059,22,4.095846
-2.297925,22,4.095854
-7.4421864,22,4.095881
-8.304796,22,4.095888
-8.522455,22,4.0959
-6.5664425,22,4.095907
-3.3558748,22,4.095912
-4.9347477,22,4.09592
-4.3702297,22,4.095926
-4.831032,22,4.095933
-7.8240566,22,4.095941
-3.2473826,23,4.274956
-10.091848,23,4.275019
-9.941403,23,4.27503
-2.9708898,23,4.275036
-6.575043,23,4.275042
-10.053904,23,4.275048
-6.50996,23,4.275055
-9.157693,23,4.275061
-6.874041,23,4.275068
-8.104678,23,4.275074
-1.569397,23,4.275086
-3.5508466,23,4.27509
-5.2653885,23,4.275096
-0.8248935,23,4.275103
-5.595102,23,4.275108
-10.118374,23,4.275117
-7.3876095,23,4.275123
-7.621623,23,4.275128
-0.2523055,23,4.275135
-1.4307842,23,4.275141
-7.5197544,23,4.275147
-4.303093,23,4.275152
-12.473568,23,4.275161
-9.4820595,23,4.275173
-11.779276,23,4.275181
-4.5613728,23,4.275186
-6.6279674,23,4.275192
-4.692888,23,4.275198
3.869545,23,4.27521
-11.163632,23,4.275215
-8.410084,23,4.275221
-4.757351,23,4.275225
-7.0023136,23,4.275239
-6.121483,23,4.275245
-5.1971993,23,4.275252
-6.662558,23,4.275261
-11.797152,23,4.275266
-6.2413797,23,4.275275
-3.2724233,23,4.275284
-5.055064,23,4.275288
-5.5648627,23,4.275299
-11.294755,23,4.275305
-5.6492796,23,4.275312
-4.7147818,23,4.275321
-0.22142601,23,4.275326
-8.847006,23,4.275331
-9.8551,23,4.275338
-8.042109,23,4.275356
-3.5355086,23,4.275361
0.76252174,23,4.275366
-7.857635,23,4.275371
-4.2633104,23,4.275378
-7.269269,23,4.275383
-11.336847,23,4.275388
-11.586704,23,4.275397
-6.647399,23,4.275405
2.6602464,23,4.275413
-7.99391,23,4.275418
-10.488939,23,4.275423
-8.205854,23,4.27543
-7.1114244,23,4.275436
-10.372709,23,4.275442
-9.095579,23,4.275449
-7.2589054,23,4.275456
-3.659578,23,4.275465
-4.6213493,23,4.275474
-6.198014,23,4.275479
3.1926665,23,4.275487
-3.7319245,23,4.275492
-1.2504725,23,4.275504
-7.281349,23,4.275511
-3.2513747,23,4.275518
-6.178074,23,4.275528
-8.12721,23,4.275537
-4.8671255,23,4.275542
-6.1687303,23,4.275548
0.02990818,23,4.275553
-9.725672,23,4.275558
-4.7136555,23,4.275565
-7.432371,23,4.27557
-4.320376,23,4.275575
-9.868457,23,4.275581
-1.8738084,23,4.275587
-7.7010946,23,4.275592
-2.4895644,23,4.275599
-3.3702245,23,4.275606
-7.6345396,23,4.275612
-6.114275,23,4.275617
-9.95136,23,4.275627
-6.420618,23,4.275635
0.83733034,23,4.275639
-9.505608,23,4.275645
-6.3643837,23,4.27565
-2.8293552,23,4.275655
-1.6754727,24,4.458979
-1.5435629,24,4.459034
-7.794497,24,4.459044
-8.226944,24,4.45905
-6.037651,24,4.459055
-2.0328503,24,4.459064
-6.9517407,24,4.459075
-7.592668,24,4.459081
-4.628389,24,4.459087
-5.8874025,24,4.459095
-8.161245,24,4.459102
-3.097156,24,4.45911
-4.476308,24,4.459115
-0.59837246,24,4.459123
-5.2609167,24,4.459131
-6.7063446,24,4.459137
-10.420493,24,4.459143
-5.1338906,24,4.459149
-10.151326,24,4.459156
-6.982196,24,4.459161
-7.767506,24,4.459168
-7.8178625,24,4.459175
-5.2748613,24,4.459181
-1.8385592,24,4.459189
-9.078483,24,4.459194
-8.123972,24,4.459198
-2.1284556,24,4.459205
-9.581274,24,4.459211
-7.1833477,24,4.459219
-12.999303,24,4.459226
-3.1690755,24,4.459235
-8.427069,24,4.45924
-4.12445,24,4.459254
-4.27478,24,4.45926
-2.4778438,24,4.459267
-7.849494,24,4.459271
-3.166936,24,4.459276
-11.493452,24,4.459286
-3.78198,24,4.459292
-3.0983672,24,4.4593
-5.338059,24,4.459309
-8.221027,24,4.459314
-1.3675225,24,4.459319
-9.722158,24,4.459327
-2.1566343,24,4.45934
-3.069172,24,4.459344
-6.949521,24,4.45935
-8.877048,24,4.459356
-4.0314484,24,4.459362
-3.3324952,24,4.459367
-5.8263793,24,4.459372
-5.58907,24,4.459381
-10.313461,24,4.459386
-4.6637025,24,4.459392
-2.060254,24,4.459399
-7.84204,24,4.459404
-6.606066,24,4.459409
-4.8976297,24,4.459418
-5.367176,24,4.459423
-4.778708,24,4.459432
2.0123124,24,4.459438
-9.784657,24,4.459445
-6.2078133,24,4.45945
-8.846954,24,4.459455
4.9712324,24,4.459461
0.19586039,24,4.459465
-2.5489411,24,4.459471
-9.164009,24,4.45948
-3.1660717,24,4.459486
-9.871685,24,4.459496
-6.931541,24,4.459502
-6.0879526,24,4.459506
-6.4764175,24,4.459511
-3.4610171,24,4.459524
-5.6830945,24,4.45953
-4.5400753,24,4.459536
-5.097632,24,4.459543
-0.23680258,24,4.459552
-7.593451,24,4.459558
-5.177365,24,4.459564
-6.224741,24,4.459571
-5.6481414,24,4.459576
-0.2600398,24,4.459581
3.0421176,24,4.459593
-9.03952,24,4.459598
-0.5880575,24,4.459604
-6.4383254,24,4.459608
-4.8991165,24,4.459614
-5.0413933,24,4.45962
-10.110838,24,4.459626
-6.1606464,24,4.459633
-3.0274973,24,4.459638
-3.5552354,24,4.459647
-3.3291457,24,4.459656
-10.635262,24,4.459665
-10.775038,24,4.459672
-1.942395,24,4.459677
-12.642176,24,4.459683
-7.8360057,24,4.459691
-8.321913,25,4.641607
-4.2349463,25,4.641659
-7.4582763,25,4.64167
-5.796809,25,4.641679
-11.150503,25,4.641684
-2.507371,25,4.64169
-9.177703,25,4.641697
-8.974756,25,4.641702
-11.874329,25,4.641708
2.4966044,25,4.641712
0.73072386,25,4.641717
-3.6733747,25,4.641723
-11.481512,25,4.641728
-2.2710152,25,4.641736
-4.417528,25,4.641742
-3.337266,25,4.641747
