#{"t_start": 1747094223.8235068, "env_id": "None"}
r,l,t
0.98083615,250,37.025011
0.7130397,250,37.025015
1.227087,250,37.02502
0.79014015,250,37.025024
0.98670614,250,37.02503
1.1888739,250,37.025035
0.77283335,250,37.02504
0.7692374,250,37.025045
1.2957487,250,37.025049
0.55924356,250,37.025054
0.8470725,250,37.025058
0.9407234,250,37.025064
0.84876436,250,37.025069
0.7145118,250,37.025074
0.802474,250,37.025078
1.0311294,250,37.025083
1.0300049,250,37.025088
1.0064107,250,37.025092
1.3101832,250,37.025097
1.0408521,250,37.025102
0.74496067,250,37.025106
0.93555605,250,37.025111
0.9321827,250,37.025117
1.0981643,250,37.025122
0.7685123,250,37.025126
1.4892614,250,37.025131
1.4242489,250,37.025135
0.99747807,250,37.02514
1.1790605,250,37.025144
0.7890878,250,37.025149
1.0514683,250,37.025154
0.61775225,250,37.025158
1.0597926,250,37.025163
0.8183986,250,37.025167
1.1055228,250,37.025173
0.87082654,250,37.025177
0.75563526,250,37.025183
1.0135014,250,37.025188
0.99884576,250,37.025193
0.8322292,250,37.025198
1.0706612,250,37.025203
0.8721728,250,37.025207
1.05418,250,37.025211
0.8756809,250,37.025216
0.8720686,250,37.02522
0.65794176,250,37.025225
1.0613238,250,37.02523
0.9321901,250,37.025235
0.93816715,250,37.025239
0.8429089,250,37.025244
0.8284301,250,37.025248
0.8901175,250,37.025253
0.79481983,250,37.025258
0.62980825,250,37.025262
1.3445088,250,37.025267
0.9402551,250,37.025271
1.0612645,250,37.025276
1.1646024,250,37.025346
0.79934615,250,37.025351
0.7840252,250,37.025356
0.9343154,250,37.025361
1.1800432,250,37.025365
0.70221794,250,37.02537
0.84760636,250,37.025375
0.98740995,250,37.025379
0.7738787,250,37.025383
0.9902828,250,37.025388
1.0563334,250,37.025394
1.0185399,250,37.025399
0.78184015,250,37.025404
0.91822684,250,37.025409
1.0707866,250,37.025413
0.69561505,250,37.025418
1.0284216,250,37.025422
0.9321179,250,37.025427
1.1554205,250,37.025431
0.79461455,250,37.025436
0.9674448,250,37.025441
0.84886646,250,37.025445
0.891036,250,37.02545
1.0688802,250,37.025456
0.8971343,250,37.025462
0.77136964,250,37.025466
0.696851,250,37.02547
0.88842654,250,37.025476
0.7985284,250,37.02548
0.9840894,250,37.025485
0.8639625,250,37.025489
0.63698447,250,37.025494
0.8428272,250,37.025498
0.87691945,250,37.025503
1.1530421,250,37.025507
1.0755122,250,37.025513
0.959294,250,37.025518
1.0301288,250,37.025522
0.82425684,250,37.025527
0.811938,250,37.025532
0.8588237,250,37.025536
0.8623344,250,37.025541
1.1008846,250,37.025546
0.62941104,250,37.025551
0.8261031,250,37.025556
1.0750575,250,37.02556
1.0797786,250,37.025566
0.76232237,250,37.025571
1.1015148,250,37.025576
0.8990269,250,37.02558
0.6722322,250,37.025584
0.63923806,250,37.025589
0.7978576,250,37.025594
0.71567917,250,37.025599
0.613379,250,37.025603
0.7915436,250,37.025608
1.0072857,250,37.025612
0.9496834,250,37.025618
1.0954555,250,37.025623
0.97727734,250,37.025627
0.90349925,250,37.025632
1.3303967,250,37.025636
0.86505735,250,37.025641
0.89958495,250,37.025646
1.0215837,250,37.025651
0.8922291,250,37.025656
0.68390757,250,37.02566
0.92979324,250,37.025666
1.0715686,250,37.025671
0.65274733,250,37.025677
1.3487931,250,37.025682
0.9876672,250,37.025687
0.87985957,250,37.025691
1.1052934,250,37.025698
0.84066397,250,37.025704
0.7511919,250,37.025709
1.1126527,250,37.025713
0.83237225,250,37.025718
0.87247556,250,37.025723
0.7268628,250,37.025727
0.9533798,250,37.025732
1.0499403,250,37.025738
0.89540493,250,37.025742
1.020749,250,37.025747
1.0873113,250,37.025751
0.9484049,250,37.025756
0.8647107,250,37.025761
0.73431695,250,37.025766
0.88584876,250,37.02577
1.0418234,250,37.025775
0.87646896,250,37.025779
1.0627668,250,37.025784
0.9263444,250,37.02579
1.0633192,250,37.025795
1.066964,250,37.025799
0.88886505,250,37.025803
0.96972,250,37.025808
0.9828422,250,37.025813
0.9427121,250,37.025817
0.8400954,250,37.025822
1.0289103,250,37.025827
0.9458121,250,37.025831
0.8241733,250,37.025836
0.8498729,250,37.025841
0.93611085,250,37.025846
0.7594972,250,37.025851
1.0858408,250,37.025856
1.0919361,250,37.025861
0.96822196,250,37.025865
0.77554494,250,37.025871
0.95171416,250,37.025876
0.78349817,250,37.02588
1.2701452,250,37.025885
0.7898869,250,37.02589
0.8393685,250,37.025894
0.82116604,250,37.0259
0.934364,250,37.025904
0.96325296,250,37.02591
0.87880117,250,37.025914
1.1517494,250,37.025919
0.84422207,250,37.025923
0.80593246,250,37.025928
0.92071986,250,37.025933
1.0252173,250,37.025937
0.7180779,250,37.025942
0.85415727,250,37.025946
0.74373597,250,37.025951
0.8073852,250,37.025957
1.0293132,250,37.025961
0.93952966,250,37.025966
0.86225325,250,37.025971
0.86638945,250,37.025976
0.85959554,250,37.02598
1.1162771,250,37.025985
0.99523646,250,37.025989
0.9167344,250,37.025994
0.8797893,250,37.025998
0.76111823,250,37.026003
0.91259676,250,37.026009
0.8078681,250,37.026014
0.8790641,250,37.026018
0.8628794,250,37.026023
