#{"t_start": 1747074452.409167, "env_id": "None"}
r,l,t
0.6678872,250,39.154412
0.76813656,250,39.154418
0.713335,250,39.154423
0.71019566,250,39.154427
0.7665295,250,39.154432
0.61692643,250,39.154436
0.79560435,250,39.154441
0.76014185,250,39.154446
0.71273446,250,39.15445
0.7517115,250,39.154455
0.84591514,250,39.15446
0.6213098,250,39.154464
0.7667445,250,39.15447
0.7224994,250,39.154475
0.6901313,250,39.15448
0.6819473,250,39.154484
0.64424205,250,39.154489
0.6724994,250,39.154494
0.8037962,250,39.154498
0.6758082,250,39.154506
0.68961596,250,39.154511
0.65597016,250,39.154516
0.78464234,250,39.15452
0.6751884,250,39.154526
0.65617114,250,39.15453
0.745472,250,39.154535
0.7752365,250,39.15454
0.8141237,250,39.154546
0.74502504,250,39.15455
0.7878204,250,39.154556
0.69232744,250,39.15456
0.6337194,250,39.154565
0.6067131,250,39.15457
0.6176188,250,39.154574
0.6734065,250,39.154579
0.7635847,250,39.154584
0.72367525,250,39.154589
0.73874855,250,39.154594
0.7991115,250,39.154598
0.6351811,250,39.154603
0.66982967,250,39.154608
0.6337466,250,39.154613
0.77366275,250,39.154618
0.6543985,250,39.154623
0.61400646,250,39.154627
0.71775836,250,39.154632
0.73519343,250,39.154637
0.62602985,250,39.154643
0.8003843,250,39.154647
0.76597035,250,39.154652
0.6401896,250,39.154657
0.7769637,250,39.154662
0.81952095,250,39.154667
0.7353629,250,39.154671
0.6565226,250,39.154676
0.7465774,250,39.154681
0.70908034,250,39.154685
0.62803423,250,39.15469
0.7120212,250,39.154696
0.6455516,250,39.154701
0.64962703,250,39.154706
0.65411633,250,39.15471
0.78824836,250,39.154717
0.66343987,250,39.154721
0.7927984,250,39.154727
0.8393311,250,39.154731
0.68735737,250,39.154736
0.6511851,250,39.15474
0.6483687,250,39.154745
0.64538467,250,39.154752
0.6757729,250,39.154757
0.7030904,250,39.154761
0.6884821,250,39.154766
0.7225052,250,39.154772
0.8012422,250,39.154776
0.6665452,250,39.154781
0.766863,250,39.154785
0.6593862,250,39.15479
0.66332793,250,39.154795
0.6968791,250,39.154799
0.62944627,250,39.154804
0.65576386,250,39.15481
0.85831696,250,39.154815
0.86897784,250,39.154821
0.7622825,250,39.154825
0.70279455,250,39.15483
0.73591334,250,39.154835
0.6761928,250,39.154839
0.8170145,250,39.154844
0.70136184,250,39.154849
0.65703326,250,39.154853
0.7165842,250,39.154858
0.8243079,250,39.154863
0.6809652,250,39.154869
0.6553938,250,39.154873
0.7151056,250,39.154878
0.7381809,250,39.154883
0.7136991,250,39.154888
0.81309664,250,39.154893
0.7501908,250,39.154897
0.77044207,250,39.154902
0.6314198,250,39.154907
0.67436725,250,39.154912
0.79532826,250,39.154916
0.7727713,250,39.154979
0.6241416,250,39.154985
0.67558163,250,39.15499
0.70531064,250,39.154995
0.6336941,250,39.155
0.62661844,250,39.155005
0.65534157,250,39.155009
0.8166526,250,39.155014
0.70517564,250,39.15502
0.65890205,250,39.155025
0.69989115,250,39.15503
0.6638527,250,39.155037
0.819975,250,39.155042
0.6859266,250,39.155047
0.8149673,250,39.155051
0.7980809,250,39.155056
0.9111701,250,39.155061
0.6580792,250,39.155065
0.6792861,250,39.15507
0.60814375,250,39.155075
0.64889055,250,39.15508
0.7852677,250,39.155084
0.75840163,250,39.155089
0.64995676,250,39.155095
0.713353,250,39.155099
0.7369644,250,39.155104
0.66128117,250,39.155109
0.6122645,250,39.155114
0.67051035,250,39.155118
0.7407119,250,39.155123
0.7841448,250,39.155128
0.67601824,250,39.155133
0.80015886,250,39.155137
0.65884644,250,39.155142
0.7205247,250,39.155147
0.6396129,250,39.155152
0.680889,250,39.155157
0.6497316,250,39.155161
0.6757476,250,39.155166
0.64059657,250,39.155171
0.7584565,250,39.155175
0.67842025,250,39.15518
0.6594438,250,39.155185
0.6566889,250,39.155191
0.60329014,250,39.155195
0.776913,250,39.1552
0.7567474,250,39.155206
0.72595525,250,39.15521
0.7886859,250,39.155216
0.6446632,250,39.15522
0.7230132,250,39.155226
0.7433126,250,39.15523
0.73274887,250,39.155235
0.7065935,250,39.15524
0.7068044,250,39.155244
0.8358488,250,39.155249
0.71547914,250,39.155253
0.702181,250,39.155259
0.70769334,250,39.155264
0.65262365,250,39.155269
0.63658834,250,39.155273
0.7329797,250,39.155278
0.6372037,250,39.155282
0.66485065,250,39.155287
0.7212182,250,39.155292
0.6984286,250,39.155296
0.739366,250,39.155301
0.6636936,250,39.155306
0.7485999,250,39.15531
0.6863893,250,39.155316
0.7313372,250,39.155321
0.6996152,250,39.155325
0.65159786,250,39.15533
0.6699833,250,39.155335
0.8466867,250,39.155341
0.66376495,250,39.155345
0.64290035,250,39.15535
0.69784874,250,39.155355
0.6925138,250,39.155359
0.7267738,250,39.155364
0.68257165,250,39.155369
0.86377084,250,39.155374
0.6127669,250,39.155379
0.6815483,250,39.155384
0.74753696,250,39.155388
0.75864726,250,39.155393
0.8493864,250,39.155397
0.6718829,250,39.155402
0.7366284,250,39.155407
0.7092698,250,39.155411
0.7270355,250,39.155416
0.6692953,250,39.155421
0.69311637,250,39.155426
0.6557937,250,39.155432
0.70963657,250,39.155437
0.6408126,250,39.155441
0.734102,250,39.155446
0.63810027,250,39.155451
0.80085653,250,39.155455
0.6928294,250,39.15546
0.738252,250,39.155464
0.66517925,250,39.155469
0.6429661,250,39.155474
0.6927811,250,39.15548
0.6687159,250,39.155484
0.6994358,250,39.155489
0.7312613,250,39.155495
0.67126274,250,39.155499
0.6533364,250,39.155505
0.6789618,250,39.155509
0.6697944,250,39.155514
0.6921215,250,39.155518
0.633507,250,39.155523
0.6412109,250,39.155528
0.75707895,250,39.155532
0.6609568,250,39.155539
0.67562777,250,39.155544
0.8102929,250,39.155549
0.76421624,250,39.155553
0.6660202,250,39.155558
0.69752276,250,39.155562
0.7082969,250,39.155569
0.64708394,250,39.155574
0.68606186,250,39.155578
0.6278313,250,39.155583
0.99828345,250,39.155587
0.8683106,250,39.155592
0.7706778,250,39.155598
0.64537275,250,39.155602
0.69472504,250,39.155607
0.7162016,250,39.155612
0.7016422,250,39.155617
0.6760567,250,39.155622
0.6803892,250,39.155626
0.6635894,250,39.155631
0.6766574,250,39.155637
0.68300545,250,39.155642
0.70483017,250,39.155646
0.6952469,250,39.155653
0.6396627,250,39.155658
0.6677253,250,39.155662
0.7023782,250,39.155667
0.7609378,250,39.155672
0.76892513,250,39.155676
0.7821187,250,39.155681
0.72395587,250,39.155686
0.70526606,250,39.15569
0.8085524,250,39.155695
0.6676242,250,39.1557
0.72885,250,39.155705
0.7192442,250,39.15571
